"study","treatment","therm1","therm2","therm3","therm4"
1,"Recycling Script by Gay Canvasser",50,51,NA,NA
1,"No Contact",1,1,NA,NA
1,"Recycling Script by Gay Canvasser",70,70,NA,NA
1,"No Contact",70,NA,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",50,44,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",80,93,88,95
2,"Same-Sex Marriage Script by Gay Canvasser",50,51,59,52
2,"Same-Sex Marriage Script by Gay Canvasser",50,54,51,67
2,"Same-Sex Marriage Script by Gay Canvasser",31,NA,NA,26
2,"Same-Sex Marriage Script by Gay Canvasser",77,70,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",61,50,38,69
2,"Same-Sex Marriage Script by Gay Canvasser",63,62,63,67
2,"Same-Sex Marriage Script by Gay Canvasser",46,40,NA,56
2,"Same-Sex Marriage Script by Gay Canvasser",96,100,86,90
1,"No Contact",67,NA,NA,NA
1,"No Contact",38,38,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",17,NA,NA,NA
1,"No Contact",12,12,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",38,38,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",52,57,44,NA
2,"Same-Sex Marriage Script by Gay Canvasser",66,69,57,66
2,"Same-Sex Marriage Script by Gay Canvasser",52,52,57,53
1,"No Contact",3,3,NA,NA
1,"No Contact",98,98,NA,NA
1,"No Contact",26,26,NA,NA
1,"No Contact",50,47,NA,NA
2,"No Contact",97,91,NA,100
2,"No Contact",70,NA,75,60
2,"No Contact",95,100,98,93
2,"No Contact",67,79,75,72
1,"Same-Sex Marriage Script by Gay Canvasser",5,22,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",55,56,NA,NA
1,"No Contact",59,59,NA,NA
2,"No Contact",50,54,53,40
1,"Recycling Script by Gay Canvasser",40,42,NA,NA
1,"Recycling Script by Gay Canvasser",61,61,NA,NA
1,"Recycling Script by Gay Canvasser",10,10,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",61,61,NA,NA
1,"No Contact",97,97,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",36,24,29,53
1,"Recycling Script by Gay Canvasser",50,45,NA,NA
1,"Recycling Script by Gay Canvasser",81,81,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",75,75,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",53,53,NA,NA
2,"No Contact",100,100,NA,96
1,"Recycling Script by Gay Canvasser",100,98,NA,NA
1,"Recycling Script by Gay Canvasser",88,88,NA,NA
1,"Recycling Script by Gay Canvasser",50,57,NA,NA
2,"No Contact",50,47,NA,50
2,"No Contact",51,51,28,49
2,"No Contact",51,47,49,46
2,"No Contact",91,NA,100,83
2,"No Contact",81,89,80,63
2,"Same-Sex Marriage Script by Gay Canvasser",20,21,17,16
2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,50,NA
2,"Same-Sex Marriage Script by Gay Canvasser",2,8,19,24
2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,53,52
1,"No Contact",77,77,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,93,100
2,"Same-Sex Marriage Script by Gay Canvasser",29,47,NA,30
2,"No Contact",76,79,76,79
1,"No Contact",51,51,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",50,51,NA,NA
1,"Recycling Script by Straight Canvasser",19,NA,NA,NA
1,"Recycling Script by Straight Canvasser",50,46,NA,NA
2,"No Contact",43,51,62,53
2,"Same-Sex Marriage Script by Gay Canvasser",52,53,50,58
2,"No Contact",100,100,96,100
1,"Recycling Script by Gay Canvasser",50,47,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",77,84,NA,NA
1,"No Contact",86,86,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",46,46,NA,NA
1,"No Contact",47,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",10,10,NA,NA
2,"No Contact",53,55,48,37
2,"No Contact",51,56,56,55
1,"Recycling Script by Straight Canvasser",70,70,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",60,78,56,61
2,"No Contact",60,53,59,NA
2,"No Contact",2,0,2,0
2,"No Contact",100,96,98,100
2,"No Contact",33,31,41,56
2,"No Contact",60,NA,67,55
1,"Recycling Script by Gay Canvasser",52,52,NA,NA
1,"Recycling Script by Gay Canvasser",50,43,NA,NA
1,"Recycling Script by Straight Canvasser",50,54,NA,NA
1,"Recycling Script by Straight Canvasser",17,12,NA,NA
1,"Recycling Script by Straight Canvasser",14,14,NA,NA
1,"Recycling Script by Straight Canvasser",29,NA,NA,NA
1,"No Contact",30,30,NA,NA
1,"No Contact",34,34,NA,NA
1,"No Contact",6,6,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",67,67,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,47,43,37
1,"No Contact",70,70,NA,NA
1,"No Contact",50,43,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",19,12,5,29
2,"Same-Sex Marriage Script by Gay Canvasser",51,NA,NA,58
1,"No Contact",42,42,NA,NA
2,"No Contact",84,85,74,85
2,"No Contact",98,92,100,95
2,"Same-Sex Marriage Script by Gay Canvasser",72,78,73,73
1,"Same-Sex Marriage Script by Gay Canvasser",100,98,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",1,1,NA,NA
1,"Recycling Script by Straight Canvasser",50,48,NA,NA
1,"Recycling Script by Straight Canvasser",87,87,NA,NA
1,"No Contact",22,22,NA,NA
1,"No Contact",63,63,NA,NA
1,"Recycling Script by Straight Canvasser",40,40,NA,NA
1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
1,"Recycling Script by Straight Canvasser",65,65,NA,NA
1,"No Contact",53,53,NA,NA
2,"No Contact",3,13,0,6
2,"No Contact",78,82,75,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",11,11,NA,NA
1,"No Contact",20,20,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",50,44,NA,NA
1,"Recycling Script by Gay Canvasser",73,73,NA,NA
1,"Recycling Script by Gay Canvasser",53,53,NA,NA
1,"Recycling Script by Gay Canvasser",60,60,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",42,32,54,44
2,"Same-Sex Marriage Script by Gay Canvasser",66,50,56,68
2,"Same-Sex Marriage Script by Gay Canvasser",5,23,NA,0
2,"No Contact",99,100,100,94
2,"No Contact",50,NA,NA,49
2,"Same-Sex Marriage Script by Gay Canvasser",81,NA,94,66
2,"Same-Sex Marriage Script by Gay Canvasser",50,48,NA,61
2,"No Contact",4,NA,0,0
2,"Same-Sex Marriage Script by Gay Canvasser",99,100,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",7,0,16,0
1,"No Contact",83,83,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",26,26,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",50,50,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",78,100,100,100
2,"Same-Sex Marriage Script by Gay Canvasser",50,62,54,57
2,"Same-Sex Marriage Script by Gay Canvasser",50,52,51,56
1,"Same-Sex Marriage Script by Straight Canvasser",51,55,NA,NA
2,"No Contact",80,74,83,74
2,"No Contact",6,4,4,8
2,"No Contact",90,77,87,93
1,"Recycling Script by Straight Canvasser",74,74,NA,NA
1,"Recycling Script by Straight Canvasser",6,6,NA,NA
2,"No Contact",91,97,81,100
2,"No Contact",91,100,78,81
2,"No Contact",90,94,75,91
2,"Same-Sex Marriage Script by Gay Canvasser",91,92,94,93
2,"Same-Sex Marriage Script by Gay Canvasser",100,99,NA,100
2,"Same-Sex Marriage Script by Gay Canvasser",11,0,29,NA
2,"Same-Sex Marriage Script by Gay Canvasser",81,NA,86,91
1,"No Contact",50,42,NA,NA
1,"No Contact",29,29,NA,NA
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Gay Canvasser",35,35,NA,NA
1,"Recycling Script by Gay Canvasser",86,86,NA,NA
1,"Recycling Script by Gay Canvasser",45,45,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,52,53,46
2,"Same-Sex Marriage Script by Gay Canvasser",1,1,0,3
2,"Same-Sex Marriage Script by Gay Canvasser",89,100,90,96
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,95,86
2,"Same-Sex Marriage Script by Gay Canvasser",33,35,6,33
2,"Same-Sex Marriage Script by Gay Canvasser",81,86,83,74
2,"Same-Sex Marriage Script by Gay Canvasser",52,52,38,65
2,"Same-Sex Marriage Script by Gay Canvasser",3,0,NA,18
2,"Same-Sex Marriage Script by Gay Canvasser",50,50,48,58
2,"Same-Sex Marriage Script by Gay Canvasser",99,87,100,94
2,"Same-Sex Marriage Script by Gay Canvasser",80,81,63,83
1,"No Contact",38,38,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",10,10,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",75,75,NA,NA
2,"No Contact",11,NA,17,11
2,"No Contact",100,100,99,99
2,"Same-Sex Marriage Script by Gay Canvasser",62,67,68,68
2,"Same-Sex Marriage Script by Gay Canvasser",86,100,100,NA
1,"No Contact",7,7,NA,NA
1,"No Contact",100,100,NA,NA
2,"No Contact",98,100,97,96
2,"No Contact",41,47,NA,31
2,"No Contact",50,52,56,58
2,"No Contact",100,98,100,NA
1,"No Contact",50,52,NA,NA
1,"Recycling Script by Gay Canvasser",100,99,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",77,77,NA,NA
1,"Recycling Script by Straight Canvasser",50,46,NA,NA
1,"Recycling Script by Straight Canvasser",50,42,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",84,84,NA,NA
2,"No Contact",1,0,20,NA
1,"No Contact",50,59,NA,NA
1,"No Contact",43,43,NA,NA
2,"No Contact",100,96,99,93
2,"No Contact",88,93,86,88
1,"Recycling Script by Gay Canvasser",85,NA,NA,NA
1,"Recycling Script by Gay Canvasser",71,71,NA,NA
1,"No Contact",73,73,NA,NA
1,"No Contact",50,55,NA,NA
2,"No Contact",61,54,68,58
2,"No Contact",92,80,90,94
2,"No Contact",2,8,0,NA
1,"No Contact",50,43,NA,NA
1,"No Contact",52,52,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",46,26,52,47
2,"Same-Sex Marriage Script by Gay Canvasser",50,62,61,50
2,"Same-Sex Marriage Script by Gay Canvasser",52,57,56,51
2,"Same-Sex Marriage Script by Gay Canvasser",50,84,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",72,66,59,75
2,"No Contact",66,61,76,61
2,"Same-Sex Marriage Script by Gay Canvasser",50,62,64,38
2,"Same-Sex Marriage Script by Gay Canvasser",50,79,84,93
1,"No Contact",72,72,NA,NA
1,"No Contact",50,47,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",63,68,56,61
2,"Same-Sex Marriage Script by Gay Canvasser",100,NA,100,98
2,"Same-Sex Marriage Script by Gay Canvasser",70,61,68,81
2,"Same-Sex Marriage Script by Gay Canvasser",75,80,65,64
1,"No Contact",50,NA,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",13,13,NA,NA
2,"No Contact",50,46,50,46
2,"No Contact",60,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",99,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,59,NA,NA
1,"Recycling Script by Gay Canvasser",29,29,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",47,47,NA,NA
1,"No Contact",49,49,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",52,49,71,63
2,"Same-Sex Marriage Script by Gay Canvasser",42,NA,46,45
1,"Recycling Script by Gay Canvasser",71,71,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",68,62,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,51,48
1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",67,67,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",82,82,NA,NA
1,"No Contact",78,78,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",100,97,NA,NA
1,"No Contact",50,55,NA,NA
1,"No Contact",94,94,NA,NA
2,"No Contact",91,84,89,88
2,"No Contact",96,82,100,94
2,"No Contact",15,NA,19,5
2,"No Contact",47,38,51,NA
2,"No Contact",100,100,100,98
2,"No Contact",31,34,19,38
1,"Recycling Script by Gay Canvasser",62,63,NA,NA
1,"Recycling Script by Gay Canvasser",10,10,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",25,35,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",32,42,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",76,88,73,77
2,"Same-Sex Marriage Script by Gay Canvasser",88,100,100,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",99,99,NA,NA
1,"Recycling Script by Gay Canvasser",50,56,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",50,49,NA,NA
1,"Recycling Script by Straight Canvasser",97,97,NA,NA
1,"Recycling Script by Straight Canvasser",89,89,NA,NA
1,"No Contact",100,100,NA,NA
2,"No Contact",50,54,54,51
2,"No Contact",5,2,0,0
2,"No Contact",50,52,55,55
2,"No Contact",98,92,100,100
1,"No Contact",50,49,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",50,55,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",85,85,NA,NA
1,"Recycling Script by Straight Canvasser",30,29,NA,NA
1,"Recycling Script by Straight Canvasser",42,42,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",89,89,NA,NA
1,"No Contact",3,3,NA,NA
1,"Recycling Script by Straight Canvasser",3,3,NA,NA
1,"Recycling Script by Straight Canvasser",10,10,NA,NA
1,"Recycling Script by Straight Canvasser",100,99,NA,NA
1,"No Contact",100,89,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,99,100,91
2,"Same-Sex Marriage Script by Gay Canvasser",50,55,NA,49
2,"No Contact",96,100,91,100
1,"No Contact",6,6,NA,NA
1,"No Contact",6,6,NA,NA
1,"Recycling Script by Straight Canvasser",50,50,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",3,3,NA,NA
2,"No Contact",54,51,68,61
2,"No Contact",95,98,77,100
1,"Same-Sex Marriage Script by Straight Canvasser",50,59,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",61,61,NA,NA
1,"No Contact",49,49,NA,NA
1,"No Contact",100,99,NA,NA
1,"No Contact",53,53,NA,NA
1,"Recycling Script by Gay Canvasser",50,47,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",86,86,NA,NA
1,"No Contact",75,75,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",5,5,0,9
2,"Same-Sex Marriage Script by Gay Canvasser",51,29,60,52
2,"Same-Sex Marriage Script by Gay Canvasser",50,49,45,54
2,"Same-Sex Marriage Script by Gay Canvasser",88,75,84,83
1,"Same-Sex Marriage Script by Straight Canvasser",31,31,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",79,79,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",83,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",75,75,NA,NA
1,"No Contact",30,30,NA,NA
1,"No Contact",41,41,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",47,47,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",95,95,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",96,96,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",90,90,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",71,69,89,83
2,"Same-Sex Marriage Script by Gay Canvasser",70,71,NA,69
2,"Same-Sex Marriage Script by Gay Canvasser",21,28,11,18
1,"Recycling Script by Gay Canvasser",19,19,NA,NA
1,"Recycling Script by Gay Canvasser",82,79,NA,NA
1,"No Contact",50,47,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",31,34,33,27
2,"Same-Sex Marriage Script by Gay Canvasser",67,75,NA,84
1,"No Contact",50,50,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",98,98,NA,NA
2,"No Contact",50,53,47,48
2,"No Contact",89,70,78,99
1,"No Contact",60,60,NA,NA
1,"No Contact",43,NA,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",100,100,NA,NA
2,"No Contact",43,38,45,27
2,"No Contact",90,88,82,87
1,"No Contact",99,99,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,49,54,44
2,"Same-Sex Marriage Script by Gay Canvasser",42,35,55,43
1,"No Contact",80,80,NA,NA
1,"No Contact",53,53,NA,NA
2,"No Contact",50,55,47,38
2,"No Contact",50,52,52,NA
2,"No Contact",21,22,21,17
1,"Same-Sex Marriage Script by Gay Canvasser",78,78,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",5,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",84,84,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",68,68,NA,NA
1,"No Contact",56,56,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",4,37,39,NA
2,"Same-Sex Marriage Script by Gay Canvasser",1,19,0,17
1,"No Contact",70,70,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",97,97,NA,NA
1,"Recycling Script by Gay Canvasser",70,72,NA,NA
1,"Recycling Script by Gay Canvasser",51,51,NA,NA
1,"Recycling Script by Gay Canvasser",50,NA,NA,NA
1,"No Contact",1,1,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",53,48,56,43
2,"Same-Sex Marriage Script by Gay Canvasser",86,82,NA,89
1,"Recycling Script by Straight Canvasser",21,NA,NA,NA
2,"No Contact",100,99,97,NA
2,"No Contact",100,100,96,100
2,"No Contact",78,94,67,95
2,"No Contact",31,30,40,NA
2,"No Contact",4,9,NA,NA
2,"No Contact",59,NA,61,NA
2,"No Contact",75,85,76,73
1,"Recycling Script by Straight Canvasser",10,10,NA,NA
1,"Recycling Script by Straight Canvasser",52,52,NA,NA
2,"No Contact",50,NA,57,49
2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,64,66
1,"No Contact",86,86,NA,NA
1,"No Contact",64,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,75,76,78
1,"Recycling Script by Gay Canvasser",86,86,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",47,NA,48,49
2,"Same-Sex Marriage Script by Gay Canvasser",97,89,100,100
2,"Same-Sex Marriage Script by Gay Canvasser",65,83,89,80
2,"Same-Sex Marriage Script by Gay Canvasser",2,19,7,20
2,"Same-Sex Marriage Script by Gay Canvasser",41,NA,46,45
1,"No Contact",76,NA,NA,NA
1,"No Contact",80,80,NA,NA
2,"No Contact",61,65,59,77
2,"No Contact",50,50,52,50
1,"No Contact",89,89,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",53,53,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",85,85,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",74,74,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",41,28,NA,42
2,"Same-Sex Marriage Script by Gay Canvasser",67,100,100,100
1,"Same-Sex Marriage Script by Gay Canvasser",78,78,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",12,12,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",81,89,89,81
1,"Recycling Script by Straight Canvasser",70,NA,NA,NA
1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,53,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",77,77,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",55,NA,NA,NA
1,"No Contact",44,44,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",30,30,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",1,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",41,41,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",1,11,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",3,2,NA,NA
1,"No Contact",41,41,NA,NA
1,"Recycling Script by Gay Canvasser",50,44,NA,NA
1,"Recycling Script by Gay Canvasser",69,NA,NA,NA
1,"No Contact",61,61,NA,NA
2,"No Contact",1,6,NA,17
2,"No Contact",71,51,80,76
2,"No Contact",51,42,44,64
2,"No Contact",50,52,57,58
2,"No Contact",21,22,22,33
1,"No Contact",55,NA,NA,NA
1,"No Contact",52,NA,NA,NA
1,"No Contact",90,90,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",49,50,52,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,54,56,43
2,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,89
1,"No Contact",50,55,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,46,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",2,2,NA,NA
2,"No Contact",52,42,53,49
1,"No Contact",64,64,NA,NA
1,"No Contact",50,53,NA,NA
1,"Recycling Script by Gay Canvasser",92,NA,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",43,43,NA,NA
1,"No Contact",50,57,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",90,NA,87,87
1,"No Contact",48,48,NA,NA
1,"No Contact",84,84,NA,NA
2,"No Contact",61,71,71,59
2,"No Contact",50,48,47,57
2,"No Contact",70,72,56,NA
2,"No Contact",74,77,NA,74
2,"No Contact",1,0,23,1
1,"No Contact",73,73,NA,NA
1,"No Contact",69,69,NA,NA
1,"Recycling Script by Gay Canvasser",50,54,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",40,44,38,36
2,"Same-Sex Marriage Script by Gay Canvasser",70,77,80,79
1,"No Contact",90,90,NA,NA
1,"No Contact",95,NA,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",49,49,NA,NA
2,"No Contact",52,NA,45,54
2,"No Contact",50,49,46,NA
1,"No Contact",55,55,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,49
1,"Recycling Script by Gay Canvasser",50,54,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",27,27,NA,NA
1,"No Contact",31,31,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",88,88,NA,NA
2,"No Contact",99,NA,100,100
2,"No Contact",82,81,94,94
2,"No Contact",58,NA,60,56
2,"No Contact",16,20,22,1
2,"No Contact",3,NA,5,0
2,"No Contact",95,100,82,100
2,"No Contact",72,54,55,63
1,"No Contact",50,49,NA,NA
1,"No Contact",85,85,NA,NA
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",41,41,NA,NA
1,"Recycling Script by Straight Canvasser",50,52,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",78,89,96,72
2,"Same-Sex Marriage Script by Gay Canvasser",70,71,70,76
1,"No Contact",50,49,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",5,2,15,16
2,"Same-Sex Marriage Script by Gay Canvasser",51,37,58,53
1,"Same-Sex Marriage Script by Straight Canvasser",73,73,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",57,57,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",61,61,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",45,45,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",50,52,NA,NA
1,"No Contact",50,46,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",59,59,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",86,85,97,80
2,"Same-Sex Marriage Script by Gay Canvasser",50,50,45,NA
2,"No Contact",70,71,55,76
1,"No Contact",31,31,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",56,56,NA,NA
1,"No Contact",16,16,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",100,99,NA,NA
1,"No Contact",75,75,NA,NA
1,"No Contact",73,73,NA,NA
1,"No Contact",84,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",85,82,97,NA
2,"Same-Sex Marriage Script by Gay Canvasser",73,58,68,68
1,"No Contact",96,96,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",85,85,NA,NA
1,"No Contact",92,92,NA,NA
1,"No Contact",41,41,NA,NA
1,"No Contact",96,96,NA,NA
1,"No Contact",30,30,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",27,31,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,98,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",90,90,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,56,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",72,72,NA,NA
1,"No Contact",50,57,NA,NA
1,"No Contact",100,100,NA,NA
